location,show_id,episode_num,censor_dummy,log_rating,log_tweet,av_tweets,day_id,mainland_dummy
Mainland China,1,1,1,.47576365,0,3.6923077,33,1
Mainland China,1,2,0,.46847871,0,3.6923077,34,1
Mainland China,1,3,0,.58132678,1.3862944,3.6923077,35,1
Mainland China,1,4,0,.54785109,0,3.6923077,36,1
Mainland China,1,5,0,.48372847,1.3862944,3.6923077,37,1
Mainland China,1,6,0,.62245727,0,3.6923077,40,1
Mainland China,1,7,0,.64246243,2.7080503,3.6923077,41,1
Mainland China,1,8,0,.59295851,2.7080503,3.6923077,42,1
Mainland China,1,9,0,.55066478,0,3.6923077,43,1
Mainland China,1,10,0,.64768845,0,3.6923077,44,1
Mainland China,1,11,0,.52038151,0,3.6923077,57,1
Mainland China,1,12,0,.56448251,0,3.6923077,57,1
Mainland China,1,13,0,.5653258,0,3.6923077,58,1
Mainland China,1,14,0,.5320788,0,3.6923077,58,1
Mainland China,2,1,0,.44396088,0,1.7777778,13,1
Mainland China,2,2,0,.50791007,0,1.7777778,13,1
Mainland China,2,3,0,.45586666,0,1.7777778,14,1
Mainland China,2,4,0,.51960748,0,1.7777778,14,1
Mainland China,2,5,0,.38787553,1.0986123,1.7777778,15,1
Mainland China,2,6,0,.4850511,1.0986123,1.7777778,15,1
Mainland China,2,7,0,.52716422,0,1.7777778,16,1
Mainland China,2,8,0,.41981691,0,1.7777778,16,1
Mainland China,2,9,0,.53190166,0,1.7777778,19,1
Mainland China,2,10,0,.4142814,0,1.7777778,19,1
Mainland China,2,11,0,.55009735,0,1.7777778,19,1
Mainland China,2,12,0,.384655,0,1.7777778,20,1
Mainland China,2,13,0,.59838247,0,1.7777778,20,1
Mainland China,2,14,0,.55113381,0,1.7777778,20,1
Mainland China,2,15,0,.37639585,0,1.7777778,21,1
Mainland China,2,16,0,.4844051,0,1.7777778,21,1
Mainland China,2,17,0,.57426506,0,1.7777778,21,1
Mainland China,2,18,0,.46827036,0,1.7777778,22,1
Mainland China,2,19,0,.61407655,0,1.7777778,22,1
Mainland China,2,20,0,.66052103,0,1.7777778,22,1
Mainland China,2,21,0,.63217944,0,1.7777778,23,1
Mainland China,2,22,0,.50920111,0,1.7777778,23,1
Mainland China,2,23,0,.68036002,0,1.7777778,23,1
Mainland China,2,24,0,.58308935,0,1.7777778,26,1
Mainland China,2,25,0,.43688133,0,1.7777778,26,1
Mainland China,2,26,0,.59244454,0,1.7777778,26,1
Mainland China,2,27,0,.47281337,0,1.7777778,27,1
Mainland China,2,28,0,.59361476,0,1.7777778,27,1
Mainland China,2,29,0,.59016824,0,1.7777778,27,1
Mainland China,2,30,0,.44087937,0,1.7777778,28,1
Mainland China,2,31,0,.5931794,3.1354942,1.7777778,28,1
Mainland China,2,32,0,.57293957,3.1354942,1.7777778,28,1
Mainland China,2,33,0,.60661805,0,1.7777778,29,1
Mainland China,2,34,0,.58880848,0,1.7777778,29,1
Mainland China,2,35,0,.40692097,0,1.7777778,29,1
Mainland China,2,36,0,.58095706,0,1.7777778,30,1
Mainland China,2,37,0,.48189145,0,1.7777778,30,1
Mainland China,2,38,1,.47337294,0,1.7777778,33,1
Mainland China,2,39,1,.48712769,0,1.7777778,33,1
Mainland China,2,40,0,.48245811,0,1.7777778,34,1
Mainland China,2,41,0,.52731061,0,1.7777778,34,1
Mainland China,2,42,0,.42762816,0,1.7777778,35,1
Mainland China,2,43,0,.50303078,0,1.7777778,35,1
Mainland China,2,44,0,.59775883,0,1.7777778,36,1
Mainland China,2,45,0,.49999785,0,1.7777778,36,1
Mainland China,2,46,0,.44926941,0,1.7777778,37,1
Mainland China,2,47,0,.60401654,0,1.7777778,37,1
Mainland China,2,48,0,.65697378,0,1.7777778,40,1
Mainland China,2,49,0,.56221294,0,1.7777778,40,1
Mainland China,2,50,0,.59170604,2.0794415,1.7777778,41,1
Mainland China,2,51,0,.53075522,2.0794415,1.7777778,41,1
Mainland China,2,52,0,.45641488,0,1.7777778,42,1
Mainland China,2,53,0,.56759584,0,1.7777778,42,1
Mainland China,2,54,0,.54954606,0,1.7777778,43,1
Mainland China,2,55,0,.64473933,0,1.7777778,43,1
Mainland China,2,56,0,.56901538,0,1.7777778,44,1
Mainland China,2,57,0,.67688978,0,1.7777778,44,1
Mainland China,2,58,0,.50817651,0,1.7777778,47,1
Mainland China,2,59,0,.5628354,0,1.7777778,47,1
Mainland China,2,60,0,.42860222,0,1.7777778,47,1
Mainland China,2,61,0,.50466144,0,1.7777778,47,1
Mainland China,2,62,0,.4226608,0,1.7777778,48,1
Mainland China,2,63,0,.6123395,0,1.7777778,48,1
Mainland China,2,64,0,.61970478,0,1.7777778,48,1
Mainland China,2,65,0,.54932135,0,1.7777778,48,1
Mainland China,2,66,0,.43060675,0,1.7777778,49,1
Mainland China,2,67,0,.55067378,0,1.7777778,49,1
Mainland China,2,68,0,.65889293,0,1.7777778,49,1
Mainland China,2,69,0,.66024983,0,1.7777778,49,1
Mainland China,2,70,0,.74279904,0,1.7777778,50,1
Mainland China,2,71,0,.61266249,0,1.7777778,50,1
Mainland China,2,72,0,.49405673,0,1.7777778,50,1
Mainland China,2,73,0,.69112343,0,1.7777778,50,1
Mainland China,2,74,0,.61493236,1.0986123,1.7777778,51,1
Mainland China,2,75,0,.49784029,0,1.7777778,51,1
Mainland China,2,76,0,.7652486,1.0986123,1.7777778,51,1
Mainland China,2,77,0,.68079084,1.0986123,1.7777778,51,1
Mainland China,2,78,0,.49869624,0,1.7777778,54,1
Mainland China,2,79,0,.38332444,0,1.7777778,54,1
Mainland China,2,80,0,.61731052,0,1.7777778,54,1
Mainland China,2,81,0,.65574145,0,1.7777778,54,1
Mainland China,2,82,0,.57473999,0,1.7777778,55,1
Mainland China,2,83,0,.4029699,0,1.7777778,55,1
Mainland China,2,84,0,.64170378,0,1.7777778,55,1
Mainland China,2,85,0,.65296155,0,1.7777778,55,1
Mainland China,2,86,0,.72788274,0,1.7777778,56,1
Mainland China,2,87,0,.61934805,0,1.7777778,56,1
Mainland China,2,88,0,.47562149,0,1.7777778,56,1
Mainland China,2,89,0,.76982671,0,1.7777778,56,1
Mainland China,2,90,0,.59074181,0,1.7777778,57,1
Mainland China,2,91,0,.64939976,0,1.7777778,58,1
Mainland China,2,92,0,.62901312,0,1.7777778,58,1
Mainland China,3,1,0,.82496697,3.7376697,39.515152,27,1
Mainland China,3,2,0,.78421569,1.7917595,39.515152,28,1
Mainland China,3,3,0,.81229907,3.4011974,39.515152,28,1
Mainland China,3,4,0,.87015831,3.2580965,39.515152,29,1
Mainland China,3,5,0,.87673837,3.4965076,39.515152,29,1
Mainland China,3,6,0,.80275333,3.0910425,39.515152,30,1
Mainland China,3,7,0,.78246027,2.9957323,39.515152,30,1
Mainland China,3,8,1,.83759379,2.3978953,39.515152,31,1
Mainland China,3,9,1,.79655266,1.0986123,39.515152,31,1
Mainland China,3,10,1,.87861401,1.3862944,39.515152,32,1
Mainland China,3,11,1,.76270759,1.3862944,39.515152,32,1
Mainland China,3,12,1,.77725005,2.1972246,39.515152,33,1
Mainland China,3,13,1,.82812691,2.3978953,39.515152,33,1
Mainland China,3,14,0,.77523828,3.4657359,39.515152,34,1
Mainland China,3,15,0,.83238393,3.8066626,39.515152,34,1
Mainland China,3,16,0,.83313894,3.6888795,39.515152,35,1
Mainland China,3,17,0,.73462886,3.2580965,39.515152,35,1
Mainland China,3,18,0,.79936707,3.8918202,39.515152,36,1
Mainland China,3,19,0,.9110176,4.1896548,39.515152,36,1
Mainland China,3,20,0,.87378275,4.5108595,39.515152,37,1
Mainland China,3,21,0,.80410266,4.4773369,39.515152,37,1
Mainland China,3,22,0,.81363785,3.5263605,39.515152,38,1
